Title: Sanloup as cited by Taylor et al. (2014)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
99995.30 2109.82 100.018868 0.0321236022032692 0.036810 275.419817 -844864.735086 28.744159 -12.594408 698.414377 119.648743 -3.295 0.000 3.036595 3.496555 -0.540 0 0.000
99697.60 2109.30 100.018983 0.0322218497152126 0.036912 275.414901 -845733.196168 28.749246 -12.624367 701.358912 119.677624 -3.298 0.000 3.036949 3.495955 -0.538 0 0.000
99399.90 2108.78 100.019099 0.0323218039750739 0.037016 275.410210 -846601.365249 28.754363 -12.653882 704.288230 119.706559 -3.301 0.000 3.037269 3.495354 -0.536 0 0.000
99102.20 2108.26 100.019217 0.0324235446218939 0.037123 275.405750 -847469.230073 28.759508 -12.682931 707.201449 119.735551 -3.303 0.000 3.037558 3.494751 -0.534 0 0.000
98804.60 2107.74 100.019337 0.0325271042078813 0.037231 275.401519 -848336.511581 28.764683 -12.711478 710.096873 119.764592 -3.306 0.000 3.037813 3.494148 -0.532 0 0.000
98506.90 2107.23 100.019459 0.0326335807593947 0.037344 275.398223 -849202.295350 28.769900 -12.739470 712.963991 119.793776 -3.309 0.000 3.038054 3.493541 -0.530 0 0.000
98209.30 2106.71 100.019582 0.0327411524134447 0.037458 275.394491 -850068.902258 28.775137 -12.766950 715.822458 119.822949 -3.312 0.000 3.038245 3.492934 -0.528 0 0.000
97911.70 2106.19 100.019708 0.0328508668680333 0.037574 275.391019 -850935.151239 28.780407 -12.793855 718.660940 119.852195 -3.315 0.000 3.038402 3.492327 -0.526 0 0.000
97614.10 2105.67 100.019835 0.0329628242080426 0.037694 275.387816 -851801.027521 28.785711 -12.820154 721.478364 119.881516 -3.318 0.000 3.038528 3.491717 -0.525 0 0.000
97316.50 2105.15 100.019964 0.0330771291432597 0.037816 275.384890 -852666.515774 28.791049 -12.845817 724.273615 119.910917 -3.321 0.000 3.038621 3.491106 -0.523 0 0.000
97018.90 2104.63 100.020095 0.0331938911947585 0.037942 275.382249 -853531.600092 28.796423 -12.870810 727.045534 119.940403 -3.323 0.000 3.038682 3.490494 -0.521 0 0.000
