'Reservoirs in mol, fluxes in mol s-1'
'Time (Gyr)' 	 'Tmantle (K)' 	 RCmantle 	 RCatm 	 RCocean 	 RCatm+RCoc 	 RCatmoc 	 FCoutgas 	 FCcontw 	 FCseafsubd 	 'Net C flux' 	 'Total N g+aq' 	 RCorg
0 	 6029.78 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 0 	 0 	 0 	 0 	 3.01405e+20 	 0
0.6002 	 1981.41 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.83483e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.6004 	 1981.31 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.77536e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.6006 	 1981.21 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.76498e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.6008 	 1981.11 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.76185e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.601 	 1981.01 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.7598e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.611 	 1976.11 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.75788e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.621 	 1971.31 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.71015e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.631 	 1966.64 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.61612e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.641 	 1962.09 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.52356e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.651 	 1957.66 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.43209e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.661 	 1953.35 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.34825e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.671 	 1949.14 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.26605e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.681 	 1945.04 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.19079e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.691 	 1941.04 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.11679e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.701 	 1937.14 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 2.04902e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.711 	 1933.33 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.98216e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.721 	 1929.61 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.9209e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.731 	 1925.98 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.86029e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.741 	 1922.43 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.80475e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.751 	 1918.95 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.75698e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.761 	 1915.55 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.70486e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.771 	 1912.22 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.65644e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.781 	 1908.97 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.60808e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.791 	 1905.79 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.56373e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.801 	 1902.68 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.51942e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.811 	 1899.62 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.4788e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.821 	 1896.64 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.43811e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.831 	 1893.72 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.40081e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.841 	 1890.84 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.36913e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.851 	 1888.03 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.3336e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.861 	 1885.26 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.30052e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.871 	 1882.56 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.26708e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.881 	 1879.91 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.23644e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.891 	 1877.31 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.20547e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.901 	 1874.75 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.17712e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.911 	 1872.24 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.15328e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.921 	 1869.78 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.12599e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.931 	 1867.35 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.10057e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.941 	 1864.98 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.07464e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.951 	 1862.64 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.05092e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.961 	 1860.34 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.03114e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.971 	 1858.09 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 1.00816e+07 	 0 	 0 	 0 	 3.01405e+20 	 0
0.981 	 1855.86 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 9.86749e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
0.991 	 1853.68 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 9.64789e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.001 	 1851.54 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 9.44717e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.011 	 1849.42 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 9.28124e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.021 	 1847.34 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 9.08566e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.031 	 1845.3 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 8.90347e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.041 	 1843.29 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 8.71558e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.051 	 1841.31 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 8.54407e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.061 	 1839.35 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 8.40352e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.071 	 1837.43 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 8.2355e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.081 	 1835.54 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 8.07902e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
1.091 	 1833.68 	 2.3625e+22 	 5.34732e+16 	 3.96684e+18 	 4.02031e+18 	 4.02031e+18 	 7.91678e+06 	 0 	 0 	 0 	 3.01405e+20 	 0
