'Atmospheric species in mixing ratio (by mol, i.e. by volume for ideal gases), aqueous species in mol/(kg H2O), total C and N in mol'
'Time (Myr)' 	 CO2(g) 	 CH4(g) 	 O2(g) 	 N2(g) 	 H2O(g) 	 'P_surface (bar)' 	 'T_surface (K)' 	 'DeltaT GHE (K)' 	 'Ox C(aq)' 	 'Red C(aq)' 	 'Total N(aq)' 	 'Ocean pH' 	 'Ocean log f(O2) at Tsurf0' 	 'Rain pH' 	 'Total C g+aq' 	 'Total N g+aq' 	 'Mocean (kg)' 	 'Mriver (kg)' 	 'nAir (mol)'
Init 	 0.00028 	 1e-10 	 0.2 	 0.79 	 0.01 	 1 	 288 	 0 	 0.00283346 	 0 	 0.00052628 	 8.43461 	 -40.2288 	 0 	 4.02012e+18 	 3.01404e+20 	 1.4e+21 	 0 	 1.90296e+20
0 	 0.0154086 	 0 	 0.196003 	 0.774814 	 0.0137749 	 1.01882 	 288 	 32.8748 	 0.000737858 	 0 	 0.000608126 	 4.78633 	 -1.1895 	 0 	 4.02012e+18 	 3.01264e+20 	 1.39999e+21 	 0 	 1.93861e+20
0.01 	 0.0154086 	 0 	 0.196002 	 0.774814 	 0.0137749 	 1.01882 	 288 	 41.8623 	 0.000737856 	 0 	 0.000608126 	 4.78633 	 -1.1895 	 0 	 4.01987e+18 	 3.01239e+20 	 1.39999e+21 	 0 	 1.93845e+20
0.02 	 0.0154088 	 0 	 0.196002 	 0.774813 	 0.013776 	 1.01874 	 288 	 41.8623 	 0.00073781 	 0 	 0.000608077 	 4.78635 	 -1.18953 	 0 	 4.01961e+18 	 3.01214e+20 	 1.39999e+21 	 0 	 1.93829e+20
0.03 	 0.0154091 	 0 	 0.196002 	 0.774811 	 0.0137771 	 1.01866 	 288 	 41.862 	 0.000737764 	 0 	 0.000608025 	 4.78636 	 -1.18957 	 0 	 4.01935e+18 	 3.01188e+20 	 1.39999e+21 	 0 	 1.93813e+20
0.04 	 0.0154094 	 0 	 0.196002 	 0.77481 	 0.0137783 	 1.01857 	 288 	 41.8617 	 0.000737717 	 0 	 0.000607974 	 4.78638 	 -1.1896 	 0 	 4.01909e+18 	 3.01163e+20 	 1.39999e+21 	 0 	 1.93797e+20
0.05 	 0.0154097 	 0 	 0.196002 	 0.774809 	 0.0137794 	 1.01849 	 288 	 41.8614 	 0.00073767 	 0 	 0.000607923 	 4.78639 	 -1.18964 	 0 	 4.01883e+18 	 3.01138e+20 	 1.39998e+21 	 0 	 1.93781e+20
0.06 	 0.01541 	 0 	 0.196001 	 0.774808 	 0.0137805 	 1.0184 	 288 	 41.8611 	 0.000737623 	 0 	 0.000607871 	 4.7864 	 -1.18968 	 0 	 4.01858e+18 	 3.01113e+20 	 1.39999e+21 	 0 	 1.93765e+20
0.07 	 0.0154103 	 0 	 0.196001 	 0.774807 	 0.0137817 	 1.01832 	 288 	 41.8609 	 0.000737579 	 0 	 0.000607821 	 4.78642 	 -1.18971 	 0 	 4.01834e+18 	 3.01088e+20 	 1.39999e+21 	 0 	 1.93749e+20
0.08 	 0.0154106 	 0 	 0.196002 	 0.774805 	 0.0137828 	 1.01824 	 288 	 41.8606 	 0.000737533 	 0 	 0.00060777 	 4.78643 	 -1.18975 	 0 	 4.01808e+18 	 3.01062e+20 	 1.39998e+21 	 0 	 1.93733e+20
